[0.519, 0.074]
[0.530, 0.118]
[0.520, 0.144]
[0.492, 0.193]
[0.486, 0.274]
[0.432, 0.245]
[0.367, 0.259]
[0.346, 0.276]
[0.253, 0.293]
[0.263, 0.318]
[0.367, 0.346]
[0.475, 0.335]
[0.486, 0.370]
[0.406, 0.456]
[0.455, 0.527]
[0.437, 0.641]
[0.450, 0.688]
[0.406, 0.794]
[0.326, 0.767]
[0.295, 0.817]
[0.244, 0.819]
[0.221, 0.832]
[0.230, 0.839]
[0.297, 0.880]
[0.310, 0.880]
[0.324, 0.859]
[0.331, 0.869]
[0.347, 0.889]
[0.366, 0.890]
[0.379, 0.868]
[0.397, 0.860]
[0.459, 0.884]
[0.503, 0.864]
[0.566, 0.840]
[0.624, 0.840]
[0.687, 0.873]
[0.757, 0.849]
[0.798, 0.869]
[0.791, 0.888]
